"","Made Donation in March 2007"
659,0.382
276,0.1
263,0.188
303,0.066
83,0.498
500,0.488
530,0.188
244,0.042
249,0.116
728,0.498
129,0.12
534,0.284
317,0.52
401,0.188
696,0.498
192,0.176
176,0.064
571,0.182
139,0.09
423,0.288
563,0.276
56,0.492
528,0.256
101,0.188
467,0.142
382,0.356
466,0.374
294,0.042
512,0.496
659,0.382
389,0.276
487,0.036
701,0.256
419,0.284
536,0.042
240,0.056
508,0.08
515,0.042
283,0.496
650,0.188
65,0.428
228,0.11
741,0.206
297,0.334
464,0.054
63,0.256
231,0.498
28,0.126
248,0.042
357,0.164
300,0.288
726,0.284
680,0.14
520,0.294
254,0.048
582,0.21
143,0.084
98,0.36
1,0.138
221,0.366
352,0.188
64,0.374
138,0.05
745,0.282
64,0.374
688,0.17
623,0.196
289,0.098
174,0.3
690,0.188
105,0.148
427,0.04
48,0.136
14,0.188
657,0.05
301,0.282
455,0.148
579,0.338
722,0.14
98,0.36
491,0.136
303,0.066
466,0.374
65,0.428
300,0.288
9,0.132
622,0.176
323,0.176
289,0.098
568,0.188
290,0.188
156,0.122
464,0.054
426,0.052
306,0.036
4,0.052
12,0.53
187,0.116
406,0.088
96,0.188
509,0.256
733,0.288
548,0.06
478,0.502
501,0.064
127,0.532
199,0.162
299,0.346
162,0.188
235,0.042
23,0.218
473,0.188
487,0.036
683,0.428
303,0.066
309,0.04
569,0.136
34,0.458
686,0.26
84,0.064
733,0.288
537,0.532
181,0.214
453,0.308
67,0.3
161,0.32
307,0.3
703,0.176
181,0.214
246,0.042
316,0.52
278,0.176
346,0.162
545,0.188
419,0.284
694,0.188
622,0.176
663,0.176
262,0.526
461,0.194
373,0.532
233,0.188
466,0.374
207,0.084
263,0.188
16,0.136
513,0.12
449,0.332
429,0.142
701,0.256
632,0.176
529,0.534
245,0.066
344,0.12
353,0.048
241,0.272
633,0.052
624,0.256
726,0.284
189,0.176
138,0.05
402,0.042
511,0.38
590,0.054
334,0.04
447,0.196
119,0.374
389,0.276
644,0.188
423,0.288
131,0.136
405,0.136
82,0.188
643,0.522
156,0.122
617,0.048
574,0.526
272,0.208
613,0.146
545,0.188
685,0.042
570,0.11
537,0.532
691,0.052
85,0.52
483,0.042
455,0.148
93,0.176
744,0.256
33,0.042
321,0.506
523,0.41
426,0.052
196,0.108
301,0.282
103,0.052
224,0.122
454,0.118
585,0.116
154,0.488
